DATE,CXUHEALTHLB0409M
1984-01-01,1504
1985-01-01,1656
1986-01-01,1834
1987-01-01,1596
1988-01-01,2230
1989-01-01,2351
1990-01-01,2223
1991-01-01,2197
1992-01-01,2460
1993-01-01,2883
1994-01-01,2787
1995-01-01,2683
1996-01-01,2908
1997-01-01,2799
1998-01-01,2938
1999-01-01,3052
2000-01-01,3338
2001-01-01,3397
2002-01-01,3584
2003-01-01,3856
2004-01-01,3995
2005-01-01,4210
2006-01-01,4282
2007-01-01,4275
2008-01-01,4413
2009-01-01,4779
2010-01-01,4754
2011-01-01,4449
2012-01-01,4944
2013-01-01,4910
2014-01-01,5708
2015-01-01,5814
2016-01-01,5967
2017-01-01,6475
2018-01-01,6930
2019-01-01,6914
2020-01-01,6627
