DATE,CXUINCAFTAXLB0403M
1984-01-01,21684
1985-01-01,23025
1986-01-01,23476
1987-01-01,25322
1988-01-01,25928
1989-01-01,27951
1990-01-01,29371
1991-01-01,30863
1992-01-01,30114
1993-01-01,30267
1994-01-01,31013
1995-01-01,32359
1996-01-01,34618
1997-01-01,36871
1998-01-01,38430
1999-01-01,39405
2000-01-01,42665
2001-01-01,46490
2002-01-01,46875
2003-01-01,48410
2004-01-01,50819
2005-01-01,53257
2006-01-01,55676
2007-01-01,55765
2008-01-01,58809
2009-01-01,57239
2010-01-01,58558
2011-01-01,56851
2012-01-01,57437
2013-01-01,53178
2014-01-01,54622
2015-01-01,57274
2016-01-01,58862
2017-01-01,61145
2018-01-01,64518
2019-01-01,67887
2020-01-01,73273
